ticker,market_cap
BOLSXD,0.0
BOPMU,0.0
BP,0.0
BPEMXD,0.0
BR,0.0
BRDCY,0.0
BRHFF,0.0
BRO,0.0
BRX,0.0
BS6SI,0.0
BSASG,0.0
BSX,0.0
BT,0.0
BTI,0.0
BTRWLXC,0.0
BUD,0.0
BURL,0.0
BX,0.0
BX1BF,0.0
BXP,0.0
BY6ASG,0.0
BY6VI,0.0
BYCRF,0.0
BYD,0.0
BYGHA,0.0
BZTAF,0.0
BZUMXD,0.0
C,0.0
C38USI,0.0
C3BMU,0.0
C6LSI,0.0
C98MU,0.0
CABKMC,0.0
CAE,0.0
CAG,0.0
CAH,0.0
CAJPY,0.0
CAPA,0.0
CAPPA,0.0
CARR,0.0
CASY,0.0
CAT,0.0
CB,0.0
CBAAX,0.0
CBKDE,0.0
CBL,0.0
CBOE,0.0
CBRE,0.0
CBSH,0.0
CCBG,0.0
CCC3DXD,0.0
CCEP,0.0
CCHVI,0.0
CCI,0.0
CCJ,0.0
CCL,0.0
CCOEY,0.0
CDE,0.0
CDNS,0.0
CDP,0.0
CDW,0.0
CEG,0.0
CENNZ,0.0
CF,0.0
CFG,0.0
CFICGGCPBSN,0.0
CG,0.0
CGASY,0.0
CGGTO,0.0
CGL,0.0
CGXYY,0.0
CH,0.0
CHBJF,0.0
CHCO,0.0
CHD,0.0
CHFLF,0.0
CHK0F,0.0
CHKP,0.0
CHLSG,0.0
CHRW,0.0
CHTR,0.0
CHTRVI,0.0
CI,0.0
CIAHF,0.0
CIEN,0.0
CIMF,0.0
CINF,0.0
CIPLANS,0.0
CJEWY,0.0
CK0SG,0.0
CKHUY,0.0
CL,0.0
CL2HA,0.0
CLS,0.0
CLX,0.0
CM,0.0
CMCSA,0.0
CMCSVI,0.0
CME,0.0
CMG,0.0
CMHHY,0.0
CMI,0.0
CMS,0.0
CMSYF,0.0
CN,0.0
CNA,0.0
CNAL,0.0
CNC,0.0
CNE100004272SG,0.0
CNH,0.0
CNP,0.0
CNQTO,0.0
COALINDIANS,0.0
COF,0.0
COHR,0.0
COIN,0.0
COLAX,0.0
COLB,0.0
COO,0.0
COP,0.0
COR,0.0
CORN,0.0
COST,0.0
COVPA,0.0
CP,0.0
CPA,0.0
CPAY,0.0
CPB,0.0
CPF,0.0
CPPMU,0.0
CPRT,0.0
CPT,0.0
CPUAX,0.0
CRBG,0.0
CRBJY,0.0
CRCL,0.0
CRDO,0.0
CRH,0.0
CRL,0.0
CRM,0.0
CRPDU,0.0
CRRFY,0.0
CRWD,0.0
CRWV,0.0
CS0SG,0.0
CSCO,0.0
CSDXF,0.0
CSGP,0.0
CSL,0.0
CSPA,0.0
CSR,0.0
CSUTO,0.0
CSX,0.0
CTAS,0.0
CTRA,0.0
CTSH,0.0
CTSHVI,0.0
CTVA,0.0
CUBE,0.0
CUPSG,0.0
CUZ,0.0
CVBF,0.0
CVETO,0.0
CVGUF,0.0
CVNA,0.0
CVS,0.0
CVX,0.0
CW,0.0
CWAN,0.0
CWEN,0.0
CYZBF,0.0
D,0.0
D05SI,0.0
D1NCF,0.0
D2NF,0.0
D5LAF,0.0
D8YF,0.0
DAL,0.0
DANIENTNS,0.0
DANIPORTSBO,0.0
DANSKECO,0.0
DAS,0.0
DASH,0.0
DB1DE,0.0
DBE,0.0
DC,0.0
DC9F,0.0
DD,0.0
DDHY,0.0
DDOG,0.0
DE,0.0
DEA,0.0
DECK,0.0
DEI,0.0
DELL,0.0
DEN0F,0.0
DEO,0.0
DG,0.0
DGPA,0.0
DGX,0.0
DHC,0.0
DHI,0.0
DHR,0.0
DI,0.0
DIMPA,0.0
DINO,0.0
DIP0DU,0.0
DIS,0.0
DKNG,0.0
DKS,0.0
DLICY,0.0
DLR,0.0
DLTR,0.0
DM,0.0
DMIF,0.0
DML,0.0
DNOHA,0.0
DOC,0.0
DOLTO,0.0
DOV,0.0
DOW,0.0
DP,0.0
DPMMU,0.0
DPZ,0.0
DQJCF,0.0
DRH,0.0
DRI,0.0
DSDE,0.0
DSFIRAS,0.0
DSGNE,0.0
DSK,0.0
DSVCO,0.0
DSYAF,0.0
DTE,0.0
DTGDE,0.0
DUK,0.0
DVA,0.0
DVN,0.0
DWAHY,0.0
DXCM,0.0
DYEY,0.0
E,0.0
E3G1SG,0.0
EA,0.0
EBAY,0.0
EBSVI,0.0
EBZDU,0.0
ECL,0.0
ED,0.0
EDPRUXD,0.0
EDPUXD,0.0
EDU,0.0
EDV,0.0
EDVTO,0.0
EE,0.0
EEX,0.0
EFX,0.0
EG,0.0
EGP,0.0
EICHERMOTNS,0.0
EIX,0.0
EJPRY,0.0
EK7HA,0.0
EK7VI,0.0
ELAADXD,0.0
ELCPF,0.0
ELEEXC,0.0
ELIBR,0.0
ELISAHE,0.0
ELPA,0.0
ELS,0.0
ELV,0.0
EM,0.0
EME,0.0
EMR,0.0
EMXCL,0.0
ENB,0.0
ENELMI,0.0
ENRF,0.0
ENTG,0.0
EOANDE,0.0
EOG,0.0
EON,0.0
EP,0.0
EPAM,0.0
EPR,0.0
EPRT,0.0
EQIX,0.0
EQNR,0.0
EQR,0.0
EQT,0.0
ER,0.0
ERFPA,0.0
ERIE,0.0
ES,0.0
ESAIY,0.0
ESLAVI,0.0
ESLT,0.0
ESS,0.0
ETD,0.0
ETERNALBO,0.0
ETN,0.0
ETR,0.0
EUHA,0.0
EVDDE,0.0
EVKDE,0.0
EVMNY,0.0
EVRG,0.0
EW,0.0
EWBC,0.0
EXC,0.0
EXE,0.0
EXOAS,0.0
EXPD,0.0
EXPE,0.0
EXPNL,0.0
EXR,0.0
EZQ0F,0.0
F,0.0
F930F,0.0
FANG,0.0
FAST,0.0
FCX,0.0
FDFF,0.0
FDS,0.0
FDX,0.0
FE,0.0
FER,0.0
FERG,0.0
FEZHF,0.0
FFIN,0.0
FFIV,0.0
FG,0.0
FGRPA,0.0
FHI,0.0
FICO,0.0
FIS,0.0
FISV,0.0
FITB,0.0
FIX,0.0
FJEDU,0.0
FJIMU,0.0
FJKSG,0.0
FKKFF,0.0
FL,0.0
FLEX,0.0
FLO,0.0
FLUT,0.0
FMEHA,0.0
FMTO,0.0
FNF,0.0
FNV,0.0
FORTUMHE,0.0
FOUR,0.0
FOX,0.0
FPHNZ,0.0
FR,0.0
FREDE,0.0
FRESL,0.0
FRFFF,0.0
FRM,0.0
FRT,0.0
FSLR,0.0
FSV,0.0
FTAI,0.0
FTNT,0.0
FTSTO,0.0
FTV,0.0
FUJHY,0.0
FUL,0.0
FUTU,0.0
FVJMU,0.0
FZMVI,0.0
G14HA,0.0
G1ADXC,0.0
G1WW34SA,0.0
G24DXC,0.0
G51MU,0.0
GABC,0.0
GALDSW,0.0
GBLBY,0.0
GCO,0.0
GD,0.0
GDDY,0.0
GE,0.0
GEHC,0.0
GELYF,0.0
GEN,0.0
GETPA,0.0
GEV,0.0
GFCPA,0.0
GFS,0.0
GGG,0.0
GI,0.0
GIB,0.0
GIL,0.0
GILD,0.0
GIS,0.0
GKLTA,0.0
GL,0.0
GLAXONS,0.0
GLD,0.0
GLDBK,0.0
GLENL,0.0
GLEPA,0.0
GLPI,0.0
GLW,0.0
GM,0.0
GMABCO,0.0
GMI,0.0
GNC,0.0
GNENF,0.0
GNRC,0.0
GOOAVI,0.0
GOOCVI,0.0
GOOD,0.0
GPC,0.0
GPN,0.0
GRASIMNS,0.0
GRFMC,0.0
GRMN,0.0
GS,0.0
GSBR,0.0
GTY,0.0
GUGSG,0.0
GUOSF,0.0
GWOTO,0.0
GXYYY,0.0
GZ5DU,0.0
H,0.0
H78SI,0.0
HAI0SG,0.0
HAL,0.0
HAS,0.0
HBAN,0.0
HBANSW,0.0
HCA,0.0
HCLTECHNS,0.0
HCMSG,0.0
HD,0.0
HDB,0.0
HDCHSW,0.0
HDFCLIFEBO,0.0
HEI,0.0
HEIANE,0.0
HEIHA,0.0
HEN3DE,0.0
HF7NF,0.0
HGKGY,0.0
HIG,0.0
HII,0.0
HINDALCOBO,0.0
HINDUNILVRNS,0.0
HIW,0.0
HIZOF,0.0
HKHHY,0.0
HKTGF,0.0
HLDDU,0.0
HLMALXC,0.0
HLN,0.0
HLT,0.0
HMC,0.0
HMIASG,0.0
HMMR,0.0
HNGZY,0.0
HNR1DE,0.0
HOKCY,0.0
HON,0.0
HOOD,0.0
HOPA,0.0
HOTDE,0.0
HPE,0.0
HPP,0.0
HPQ,0.0
HR,0.0
HRL,0.0
HRT,0.0
HSBAL,0.0
HSHCY,0.0
HSIC,0.0
HST,0.0
HSYVI,0.0
HTO,0.0
HUATF,0.0
HUBB,0.0
HUBS,0.0
HUM,0.0
HWM,0.0
HYUHF,0.0
I19DU,0.0
I1MMU,0.0
I7BMU,0.0
IBEMC,0.0
IBKR,0.0
IBM0MU,0.0
IBN,0.0
IC1HF,0.0
ICE,0.0
ICKVI,0.0
IDXX,0.0
IEX,0.0
IFCTO,0.0
IFF,0.0
IFFVI,0.0
IFT340NZ,0.0
IFXDE,0.0
IG,0.0
IGMXD,0.0
IHI,0.0
IIINMX,0.0
IIPR,0.0
IKFCF,0.0
ILMN,0.0
IMBL,0.0
IMHDY,0.0
IMOTO,0.0
INCY,0.0
INDIGOBO,0.0
INFY,0.0
INGAAS,0.0
INSM,0.0
INTC,0.0
INTU,0.0
INVH,0.0
