date,etf_ticker,market,benchmark_ticker,name,group,ranking_group,ETF_return_20D,ETF_return_60D,ETF_return_120D,benchmark_return_20D,benchmark_return_60D,benchmark_return_120D,ETF_RS_20D,ETF_RS_60D,ETF_RS_120D,RS_slope_20D,price_obs,first_price_date,sub_asset,asset_class,persistent_rs,is_mean_reversion_group,is_cyclical_group,benchmark_strong,benchmark_strong_excluded,current_v31_score,screen_rank
2026-05-29,381170.KS,US,QQQ,TIGER 미국테크TOP10 INDXX,US growth,US growth,0.07925515543244077,0.20167923235092533,0.10786183963288165,0.1056848599099911,0.21403986042698286,0.18567535285112657,-0.02642970447755033,-0.012360628076057534,-0.07781351321824492,0.00028788749109985795,1331,2021-04-09,overseas_equity_index,risk,0.4611067967066699,False,False,True,False,0.4611067967066699,36
2026-05-29,457480.KS,US,QQQ,ACE 테슬라밸류체인액티브,US growth,US growth,0.10157618213660236,0.1870724227412126,0.13708339563703986,0.1056848599099911,0.21403986042698286,0.18567535285112657,-0.004108677773388747,-0.026967437685770257,-0.04859195721408671,-0.002006129096984255,784,2023-05-16,overseas_equity_index,risk,0.44582788293066733,False,False,True,False,0.44582788293066733,37
2026-05-29,379780.KS,US,QQQ,RISE 미국S&P500,US broad equity,US broad equity,0.08386249178892058,0.1400941009487109,0.13684125535193226,0.1056848599099911,0.21403986042698286,0.18567535285112657,-0.021822368121070523,-0.07394575947827198,-0.04883409749919432,0.0002863446687966101,1331,2021-04-09,overseas_equity_index,risk,0.3930501364861775,False,False,True,False,0.3930501364861775,38
2026-05-29,360200.KS,US,QQQ,ACE 미국S&P500,US broad equity,US broad equity,0.0824664270853035,0.13817624000543183,0.13483501070979775,0.1056848599099911,0.21403986042698286,0.18567535285112657,-0.023218432824687607,-0.07586362042155104,-0.05084034214132882,0.00027343961311011904,1504,2020-08-07,overseas_equity_index,risk,0.38740951354878594,False,False,True,False,0.38740951354878594,39
2026-05-29,379800.KS,US,QQQ,KODEX 미국S&P500,US broad equity,US broad equity,0.08085462924172604,0.13792224783749463,0.13421335843274962,0.1056848599099911,0.21403986042698286,0.18567535285112657,-0.024830230668265063,-0.07611761258948824,-0.051461994418376955,0.00022098371131730598,1331,2021-04-09,overseas_equity_index,risk,0.3844813290172685,False,False,True,False,0.3844813290172685,40
2026-05-29,360750.KS,US,QQQ,TIGER 미국S&P500,US broad equity,US broad equity,0.08180428134556572,0.1376368126509333,0.1340355051351938,0.1056848599099911,0.21403986042698286,0.18567535285112657,-0.02388057856442538,-0.07640304777604956,-0.051639847715932774,0.00019637992632684723,1504,2020-08-07,overseas_equity_index,risk,0.38438227035112954,False,False,True,False,0.38438227035112954,41
2026-05-29,101280.KS,US,QQQ,KODEX 일본TOPIX100,Japan equity,Japan equity,0.09443099273607758,0.10144045420494074,0.1718416796150497,0.1056848599099911,0.21403986042698286,0.18567535285112657,-0.011253867173913523,-0.11259940622204212,-0.013833673236076871,-0.00013672767121907761,4250,2010-01-04,overseas_equity_index,risk,0.3625670069199973,False,False,True,True,0.3625670069199973,42
2026-05-29,251350.KS,US,QQQ,KODEX 선진국MSCI World,Global/Developed equity,Global/Developed equity,0.07555156490507953,0.12417641257341372,0.13612918981247968,0.1056848599099911,0.21403986042698286,0.18567535285112657,-0.030133295004911576,-0.08986344785356914,-0.049546163038646895,-1.942789244533227e-05,2534,2016-08-17,overseas_equity_index,risk,0.3573208010949159,False,False,True,False,0.3573208010949159,43
2026-05-29,402970.KS,US,QQQ,ACE 미국배당다우존스,US dividend/defensive,US dividend/defensive,0.056501400180851036,0.07301268431698493,0.23032018766536067,0.1056848599099911,0.21403986042698286,0.18567535285112657,-0.04918345972914007,-0.14102717610999793,0.04464483481423409,-7.403632580345928e-05,1192,2021-10-21,overseas_equity_sector,risk,0.32969609912073,False,False,True,False,0.32969609912073,44
2026-05-29,493420.KS,US,QQQ,SOL 미국배당다우존스TR,US dividend/defensive,US dividend/defensive,0.05444992161347639,0.0711023346715447,0.22791336828957975,0.1056848599099911,0.21403986042698286,0.18567535285112657,-0.05123493829651471,-0.14293752575543817,0.04223801543845318,-0.00019047226721395015,423,2024-10-08,overseas_equity_sector,risk,0.32175400005361304,False,False,True,False,0.32175400005361304,45
2026-05-29,446720.KS,US,QQQ,SOL 미국배당다우존스,US dividend/defensive,US dividend/defensive,0.055262045532040505,0.0704901475951496,0.22669225862358267,0.1056848599099911,0.21403986042698286,0.18567535285112657,-0.0504228143779506,-0.14354971283183326,0.04101690577245609,-0.00012239655376138192,914,2022-11-15,overseas_equity_sector,risk,0.3216424594160826,False,False,True,False,0.3216424594160826,46
2026-05-29,458730.KS,US,QQQ,TIGER 미국배당다우존스,US dividend/defensive,US dividend/defensive,0.053852857453078995,0.07040019534028663,0.22497967150632237,0.1056848599099911,0.21403986042698286,0.18567535285112657,-0.05183200245691211,-0.14363966508669623,0.03930431865519579,-0.00013714489424351063,760,2023-06-20,overseas_equity_sector,risk,0.3189065378814057,False,False,True,False,0.3189065378814057,47
